100007	-1772
100296	3065
100340	-1299
100458	-193
100502	1056
100791	-2420
100953	-979
101187	-7671
101231	2696
101349	-1122
10153	665
101682	-3267
101844	-129
102078	755
102122	2199
102573	-13020
102735	-15235
103013	1362
10315	-2281
103464	-1766
103626	127
104193	-293
104355	5946
104517	-830
104850	-1662
104968	526
105084	-2873
105246	-1501
105408	-926
105697	-1436
105741	-1894
105859	3122
105903	-239
106137	-1558
106470	1633
106588	-547
106632	393
107028	-3051
107361	158
107479	697
107523	2378
10766	-1386
107974	-1586
108090	791
10810	-4488
108252	2520
108414	-168
108865	-7191
109099	-1363
109143	-557
10928	4734
109305	-1570
109594	-1274
109756	508
1098	4291
109800	-2168
109918	1383
110097	-420
110141	257
110259	-1579
110303	1242
11044	1787
110592	962
110754	4610
110916	3917
111032	-1979
111483	-6256
111645	76
111807	945
11206	-554
112374	-3003
112536	-221
112987	6370
113265	16
113427	703
113760	-1839
113878	4303
113922	-3014
114156	200
1142	1183
114200	2372
114318	-1061
114651	-1940
114769	-11
114813	535
11495	1158
115047	-2614
115209	-181
115380	-1086
115498	477
115542	1459
115704	-1231
115993	-5285
116271	-2526
116389	-639
116433	-1925
11657	-10217
116884	-27168
11701	-7724
117162	-3880
117324	434
117775	-388
117937	1322
118053	798
11819	-1435
118215	3426
118666	-478
118710	1162
118828	-1396
119106	1089
119395	-107
119557	173
119601	-2169
119719	-4166
119890	-242
11990	-2076
120104	-2323
120393	52
120555	3340
120717	-310
121284	-823
121446	-319
121608	-1007
121897	1239
121941	1329
122175	2106
122337	-3595
122670	-1127
122788	145
122832	-488
123066	-1186
123110	-1025
123228	-3461
123561	-2004
123679	-362
123723	1704
12386	-4276
124001	-4354
124119	-4717
124290	511
12430	-1927
124452	-1114
124614	2295
125181	1741
125299	1664
125343	2379
12548	-4198
125505	-469
125794	-2035
125956	-348
126072	-2294
126234	-1336
126685	-2519
126847	-519
127125	-1710
127576	-262
127620	445
127738	-761
128016	73
128467	-301
128511	-1518
128629	-686
12881	-2503
128962	1157
129196	455
129240	429
129358	-2590
129402	256
129691	7775
129853	2404
12999	317
130194	-259
130356	-4693
1304	16422
130400	-473
130518	-378
130851	1001
130969	-421
131085	-2242
131247	643
131409	4340
131580	1729
131698	326
131742	-4711
131904	1189
132020	-664
132138	18
132471	-1034
132589	-3529
132633	-1222
13277	6109
133029	-8413
13321	-922
133362	-341
133524	750
133975	3757
134091	10
134253	-351
13439	-1241
134415	-597
134866	878
134910	-1873
135144	-741
135306	748
135595	0
135757	-314
135801	511
135919	-2694
136035	382
136486	4884
136530	-296
136648	-184
136981	-2122
137377	4910
137421	4418
137539	-1052
13772	-94
137872	107
138150	962
138268	3251
138312	-740
138763	-572
138925	-780
139041	1655
139159	-826
139203	1189
13934	1106
139492	-1950
139654	-13768
139816	-16210
140157	-17993
140201	-889
140319	285
140490	275
14050	-1803
140652	-1529
140814	-819
141048	-219
141381	-3425
141499	-1664
141543	20366
14168	-480
141705	-657
141994	-3982
14212	-171
142272	282
142434	-1628
142885	2644
143163	784
143325	1033
143776	590
143820	1310
